week_label,week_start,week_end,bars,best_drop,best_rise,best_interval,best_roi,plateau_drop,plateau_rise,plateau_interval,plateau_roi
2025-W01,2025-01-01 00:00:00+00:00,2025-01-04 00:59:00+00:00,1967,0.01,0.1,20,3.1765038889269923,0.01,0.1,20,3.1765038889269923
2025-W02,2025-01-06 09:00:00+00:00,2025-01-11 00:59:00+00:00,3718,0.07,0.01,20,0.0910798533231282,0.07,0.01,20,0.0910798533231282
2025-W03,2025-01-13 09:00:00+00:00,2025-01-18 00:59:00+00:00,4713,0.01,0.07,20,3.2933722999248274,0.01,0.07,20,3.2933722999248274
2025-W04,2025-01-21 09:00:00+00:00,2025-01-25 00:59:00+00:00,3721,0.05,0.01,20,-0.3870464196387911,0.04,0.02,20,-0.6315562813643919
2025-W05,2025-01-27 09:00:00+00:00,2025-02-01 00:59:00+00:00,4672,0.01,0.02,20,3.551199157492403,0.01,0.01,20,3.1063965052769342
2025-W06,2025-02-03 09:00:00+00:00,2025-02-08 00:59:00+00:00,4706,0.06,0.01,20,-0.6891258667277289,0.1,0.03,20,-0.8349992311240931
2025-W07,2025-02-10 09:00:00+00:00,2025-02-15 00:59:00+00:00,4754,0.01,0.08,20,4.364931363993252,0.01,0.09,20,4.252027111963427
2025-W08,2025-02-18 09:00:00+00:00,2025-02-22 00:59:00+00:00,3643,0.08,0.01,20,-0.4843758654077974,0.1,0.01,20,-0.4843758654077974
2025-W09,2025-02-24 09:00:00+00:00,2025-03-01 00:59:00+00:00,4767,0.09,0.07,20,-0.9895484511471877,0.1,0.08,20,-1.5966166208318902
2025-W10,2025-03-03 09:00:00+00:00,2025-03-08 00:59:00+00:00,4758,0.09,0.02,20,-0.5956097636451887,0.1,0.02,20,-1.1392373540445988
2025-W11,2025-03-10 08:00:00+00:00,2025-03-14 23:59:00+00:00,4793,0.01,0.1,20,5.161957567601334,0.01,0.1,20,5.161957567601334
2025-W12,2025-03-17 08:00:00+00:00,2025-03-21 23:59:00+00:00,4782,0.01,0.1,20,4.126533319568814,0.01,0.1,20,4.126533319568814
2025-W13,2025-03-24 08:00:00+00:00,2025-03-28 23:59:00+00:00,4797,0.04,0.08,20,0.8682842774276214,0.07,0.05,20,0.6819793099324888
